"area"|"section"|"map number"|"location"|"description"|"job number"|"number of sheets"|"date"|"cross ref area"|"cross ref section"|"cross ref map number"|"hash"
2|32|193|HIGHLAND WOODS GOLF COURSE|Sodding Plans- areas disturbed from laying pipeline|EPR 12-86|1|4-86|||||00000050.PDF
2|33|*|Highland Woods and Forest Preserve National Golf Course|Tree and Shrub Planting|85-28|6|6-85|2|32|187-192|755|00000051.PDF
2|32|186|HIGHLAND WOODS GOLF COURSE|Gravel Service yard|E-PR 28-84|1|10-84|||||00000052.PDF
2|32|185|HIGHLAND WOODS GOLF COURSE|Driving Range Tee extension|E-PR 2-85|1|2-85|||||00000053.PDF
2|32|184|HIGHLAND WOODS GOLF COURSE|Index sheet, New Water service|85-26|5|8-85|||||00000054.PDF
2|32|179|HIGHLAND WOODS GOLF COURSE|Fuel pump and storage tank|85-21|3|6-85|||||00000055.PDF
2|33|*|Highland Woods Golf Course|Drainage Work|84-22|4|7-84|2|32|173-176|758|00000056.PDF
28|20|*|Forest Preserve National G.C.  Highland Woods G.C.|Two (2) Service Bldgs.|83-28|12|2/84|2|32|161-172|2520|00000057.PDF
2|33|*|Highland Woods Golf Course|Bituminous Concrete Cart Paths|81-21|3|6-81|2|32|158-160|756|00000058.PDF
2|33|*|Highland Woods Golf Course|Drainage Work|81-20|4|6-81|2|32|154-157|757|00000059.PDF
2|33|*|Highland Woods Golf Course|Pumping Plant Remodeling|80-18|4||2|32|150-153|739|00000060.PDF
2|33|*|18 Hole Golf Course , Northwest Division|Landscaping|73-36|15|11-73|2|32|135-149|761|00000061.PDF
2|33||18 Hole Golf Course , Northwest Division|Landscape Restoration Work|EPR-12-77|1|6-77|2|32|134|762|00000062.PDF
2|33|*|Highland Woods Golf Course|Bituminous Concrete Golf Cart Paths|77-29|3|9-77|2|32|131-133|763|00000063.PDF
2|33|*|Highland Woods Golf Course|Routed Wood Tee Marker Signs|EPR-09-76|20|3-75|2|32|111-130|764|00000064.PDF
2|32|110|HIGHLAND WOODS GOLF COURSE|Window Installation for Starter building|EPR-24-76|1|8-76|||||00000065.PDF
2|32|109|HIGHLAND WOODS GOLF COURSE|gravel service area plan|EPR 19-76|1|6-76|||||00000066.PDF
2|33|*|Highland Woods Golf Course|Landscape Work|76-09|3|2-76|2|32|106-108|765|00000067.PDF
2|32|105|Highland Golf course|Irrigation as Built|73-31|1|1975|0|0||709|00000068.PDF
2|32|102-104|18 Hole Golf Course|Bituminous Concrete Surface|75-06|3|3-75|0|0||710|00000069.PDF
2|32|100-101|Highland Woods Golf Course|Shoreline Protection and Erosion Control|75-31|2|9-75|0|0||711|00000070.PDF
2|32|098-099|18 Hole Golf Course - North West Division|Gravel Service Construction|75-11|2|1-75|0|0||712|00000071.PDF
2|32|088-097|18 Hole Golf Course , Northwest Division - Chick Evans Golf Course - Turtlehead Lake - Midlothian Meadow|Traffic Line Markings|EPR-14-75|10|4-75|2|32|88-97|1781|00000072.PDF
2|32|084-087|18 Hole Golf Course - Northwest Division|Tree Planting|75-12|4|1-75|0|0||714|00000073.PDF
2|32|083|Chick Evans Golf Course and highland Woods Golf Course|Wooden Wheel Stops for Golf Cars|EPR-21-75|1|6-75|2|32|83|715|00000074.PDF
2|32|080-082|18 Hole Golf Course - Northwest Division|Entrance Sign|75-16|3|4-75|0|0||716|00000075.PDF
2|32|078-079|Highland Woods Golf Course|Routed Wood Entrance Sign|EPR-16-75|2|4-75|0|0||717|00000076.PDF
2|3233|051-077|18 HOLE GOLF COURSE NORTHWEST DIVISION|Driveway and Parking Area|74-02|27|2-74|0|0||718|00000077.PDF
2|32|045-050|Golf course Northwest division - Highland Woods Golf Course|Chain Link Fence|73-25|6|6-73|0|0||719|00000078.PDF
2|32|017-044|18 Hole Golf Course , Northwest Division|Service, Concession and Starter Buildings|73-33|28|2-74|0|0||720|00000079.PDF
2|32|20A|HIGHLAND WOODS GOLF COURSE|Installation of Exterior Outlets|EPR-32-75|1|10-75|||||00000080.PDF
2|32|015-016|18 Hole Golf Course New|Flood Lighting|74-12|2|3-74|0|0||721|00000081.PDF
2|32|012-014|18 Hole Golf Course - New - Chick Evans Golf Course - Pipe O'Peace Golf Driving Range|Flagpole Installation|EPR-18-74|3|4-74|2|32|12-14|1783|00000082.PDF
2|32|008-011|Paul Douglas Preserve - 18 Hole Golf Course|Tree and Shrub Planting|74-21|4|6-74|0|0||723|00000083.PDF
2|32|006-007|Northwest Division - 18 Hole Golf Course|Well Platform Installation at 18 Hole Golf Course - West of Roselle Road and North of Central Road|EPR-42-74|2|8-74|0|0||724|00000084.PDF
2|32|001|Northwest Division|Gravel Placement Work and Metal Grates|EPR-51-74|1|10-74|0|0||726|00000085.PDF
2|30|001|Northwest Division - East side Freeman road and .2 miles South Algonquin Road|Drainage and Pollution Control  HB 130|EPR-56|1|7-69|0|0||705|00000086.PDF
2|9|034-040|Deer Grove - Various Locations|Tree and Shrub Planting|69-03|7|2-69|0|0||698|00000087.PDF
2|9|029-033|Camp Alphonse|Landscape Work|1152|6|9-67|||||00000088.PDF
2|9|*|Camp Alphonse|TRAFFIC LINE MARKINGS NORTH|EPR 92|16|68|0|0||1588|00000089.PDF
2|9|008-012|Camp Alphonse|Tree and Shrub Planting|68-59|5|9-68|0|0||701|00000090.PDF
2|9|007|DEER GROVE|Index sheet, Parking area of deer grove northwest corner|68-06|7|3-68|||||00000091.PDF
2|4|*|Deer Grove , Location 1 and 2|Pipe Arch Culverts for Horse Trail|70-37|3|8-70|2|8|13-15|680|00000092.PDF
2|8|003-012|Various Locations Deer Grove Entrance|Traffic Line Markings|EPR-7|10|2-69|0|0||693|00000093.PDF
2|8|001-002|Deer Grove West|Well Platforms Local Plans - 1969|EF - 1|2|7-69|0|0||694|00000094.PDF
2|5|001-002|DEER GROVE|Well Platforms Local Plans - 1969|EF - 1|2|7-69|0|0||694|00000095.PDF
8|17|*|CRABTREE NATURE CENTER-LOC.1 ,  BUSSE WOODS NORTH GROVE 2 - LOC 2|DEMOLITION AND REMOVAL OF EXISTING BUILDINGS|69-14|2|5-69|1|14|01-02|1303|00000096.PDF
1|20|*|Part of Barrington Township  (See 1-19,  Sheet 01-03)|Photo -  Mapping|68-10|3|2-68|1|19|01-03|553|00000097.PDF
1|21|*|Part of Barrington Township|Photo Mapping  1968|68-10|3|2-68|1|19|01-03|563|00000098.PDF
1|29|*|Part of Barrington|Photo Mapping 1968|68-10|3|2-68|0|0||561|00000099.PDF
1|30|*|Part of Barrington Township|Photo Mapping 1968|68-10|3|2-68|1|19|01-03|558|00000100.PDF
1|32|*|Part of Barrington Township|Photo Mapping 1968|68-10|3|2-68|1|19|01-03|556|00000101.PDF
8|21|*|NORTHWEST DIVISION|BITUMINOUS PAVEMENT RESURFACING CRABTREE NATURE CENTER AND BUSSE WOODS SOUTH|83-11|4|6-83|1|15|89-92|1476|00000102.PDF
5|19|*|CRABTREE N.C.-SKOKIE DIV. HDQTS.-CENTRAL GARAGE|FOUR (4) SERVICE BUILDINGS|77-06|17|3-16-77|1|15|SH. 72-88|1203|00000103.PDF
15|23|*|VARIOUS LOCATIONS, CENTRAL GARAGE|FOUR SERVICE BUILDINGS|77-06|17|3/77|0|0||3445|00000104.PDF
2|3|*|Crabtree Nature Center- Loc 1 , Camp Reinberg - Loc. 2 , Northwestern G.C. - Loc.3|Loc. 1 Walks & Service Drive , Loc. 2 Bus Turnaround , Loc. 3 PA reserve|70-04|17|3-70|1|15|02-18|618|00000105.PDF
10|17|*|CRAB TREE NATURE CENTER - LOCATION 1 , CAMO REINBERG - LOCATION 2 , NORTHEASTERN GOLF COURSE - LOCATION 3 ,||70-04|||||||00000106.PDF
1|14|042-043|Crabtree Nature Center|Drinking Fountains|70-43|2|9-70|0|0||544|00000107.PDF
2|32|248-249|Paul Douglas Preserve|Parking Area and Drive Extension|90-05|13|9-90|0|0||728|00000108.PDF
8|20|*|BUSSE WOODS AND HIGHLAND GOLF COURSE|BITUMINOUS PAVING|90-18|5|9-90|2|32|230-234|1396|00000109.PDF
9|8|*|GOLF CORNER DRIVING RANGE -  HIGHLAND WOODS GOLF COURSE - MEADOWLARK GOLF COURSE - FOREST PRESERVE NATIONAL GOLF COURSE|TREE AND SHRUB PLANTING|90-04|6|3-90|2|32|224-229|1554|00000110.PDF
15|31|*|MEADOWLARK GOLF COURSE AND VARIOUS LOCATIONS|TREE AND SHRUB PLANTING|90-04|6|3/90|2|32|224-229|3647|00000111.PDF
28|20|*|Forest Preserve National G.C.-Highland Woods G.C.-Golf Corner D.R.-Meadowlark G.C.|Tree & Shrub Planting|90-04|6|3/90|2|32|224-229|2515|00000112.PDF
28|20|*|Forest Preserve National & Highland Woods G.C.|Tree & Shrub Planting|85-28|6|6/85|2|32|187-192|2518|00000113.PDF
2|33|*|Highland Woods Golf Course|Bituminous Concrete Cart Paths|81-21|3|6-81|2|32|158-160|759|00000114.PDF
2|32|105 a b c|18 Hole Golf Course  Northwest Division|Automatic  Water Supply System  North West Division|73-31|3|7-73|0|0||708|00000115.PDF
2|33|*|Highland Golf Course|Irrigation as Built|73-31|1|1975|2|32|105|740|00000116.PDF
2|33|*|18 Hole Golf Course|Bituminous Concrete Surface-Walk-Cart Path-Practice tee - service drive|75-06|3|3-75|2|32|102-104|741|00000117.PDF
2|33|*|18 Hole Golf Course -  Northwest Division|Gravel Service Drive Construction|75-11|2|1-75|2|32|98-11|743|00000118.PDF
2|33|*|18 Hole Golf Course - Northwest Division - Chick Evans  Turtle Head Lake  -  Midlothian Meadow|Traffic Line Markings|EPR-14-75|10|4-75|2|32|88-97|744|00000119.PDF
10|17|*|18 HOLE GOLF COURSE, NORTHWEST DIVISION - CHICK EVANS GOLF COURSE - TURTLEHEAD LAKE - MIDOLOTHIAN MEADOW|TRAFFIC LINE MARKINGS|EPR-14-75|10|4-75|2|32|88-97|1781|00000120.PDF
27|1|*|18 Hole G.C., N.W. Div.-Chick Evans G.C.-Turtlehead Lake-Midlothian Mdw.|Traffic Line Markings|EPR-14-75|10|4-75|2|32|88-97|2281|00000121.PDF
28|15|*|18 Hole G.C.- N.W. Div.-Chick Evans G.C.-Turtlehead Lake-Midlothian Mdw.|Traffic Line Markings|EPR-14-75|10|4/75|2|32|88-97|2461|00000122.PDF
2|33|*|18 Hole Golf Course - Northwest Division|Tree Planting|75-12|4|1-75|2|32|84-87|745|00000123.PDF
2|33|*|Chick Evans Golf Course and Highland Woods Golf Course|Wooden Wheel Stops for Golf Cars|EPR-21-75|1|6-75|2|32|83|746|00000124.PDF
10|17|*|CHICK EVANS GOLF COURSE AND HIGHLAND WOODS GOLF COURSE|WOODEN WHEEL STOPS FOR GOLF COURSE|EPR-21-75|1|6-75|2|32|83|1782|00000125.PDF
2|33|*|Highland Woods Golf Course|Routed Wood Entrance Sign|EPR-16-75|2|4-75|2|32|78-79|747|00000126.PDF
2|33|*|Golf Course Northwest Division|Chain Link Fence|73-25|6|6-73|2|32|45-50|754|00000127.PDF
2|33|*|18 Hole Golf Course - Chick Evans - Pipe - O'Peace Driving Range|Flagpole Installation|EPR-18-74|3|4-74|2|32|12-14|748|00000128.PDF
10|17|*|18 HOLE GOLF COURSE - CHICK EVANS GOLF COURSE - PIPE O' PEACE GOLF DRIVING RANGE|FLAG POLE INSTALLATION|EPR-18-74|3|4-74|2|32|12-14|1783|00000129.PDF
25|32|*|Various G. C. & Driving Range|Flagpole Installation|EPR-18-74|3|4/74|0|0||2219|00000130.PDF
2|33|*|Paul Douglas Preserve , 18 Hole Golf course|Tree and Shrub Planting|74-21|4|6-74|2|32|51-77|751|00000131.PDF
2|33|*|Northwest Division|Well Platform Installation at 18 Hole Golf Course , W of Roselle , N of Central|EPR-42-74|2|8-74|2|32|06-07|750|00000132.PDF
2|33|*|Northwest Division|Gravel Placement Work and Metal Grate|EPR-51-74|1|10-74|2|32|01|749|00000133.PDF
2|8|013-015|Deer Grove Location 1 and Location 2|Pipe Arch Culverts for Horse Trail|70-37|3|8-70|0|0||692|00000134.PDF
10|8|021-023|HARMS WOODS, SCHILLER WOODS EAST & WEST, OTTAWA TRAIL WOODS, PIONEER WOODS, CROOKED CREEK WOODS, GREEN LAKE WOODS, McCormick WOODS, RUBIOSEE WOODS|WELL PLATFORM LOCATION PLANS|70-37|3|6-51|0|0||1670|00000135.PDF
12|15|*|HARMS, SCHILLER WOODS EAST AND WEST, OTAWA, PIONEER, CROOKED CREEK , GREEN LAKE, McCormick RUBIOSEE|WELL PLATFORM LOCATION PLANS|70-37|3|6/51|10|9|21-23|2761|00000136.PDF
18|1|*|Harms Woods - Schiller Woods East and West - Ottawa Trail Woods - Pioneer Woods - Crooked Creek Woods - Green Lake Woods - McCormick Woods - Rubiosee Woods|Well Platform Loc. Plans|70-37|3|6-51|10|8|21-23|4|00000137.PDF
23|15|*|Harms Woods, Schiller Woods East and West, Ottawa Trail Woods, Pioneer Woods, Crooked Creek Woods, Green Lake Woods, McCormick Woods, Rubiosee Woods|Well Platform Loc. Plans|70-37|3|6-51|10|8|21-23|371|00000138.PDF
23|16|*|Harms Woods, Schiller Woods East and West, Ottawa Trail Woods, Pioneer Woods, Crooked Creek Woods, Green Lake Woods, McCormick Woods, Rubiosee Woods|Well Platform Loc. Plan|70-37|3|6-51|10|8|21-23|385|00000139.PDF
28|5|*|Harms Woods. & Various|Well Platform Loc. Plan|70-37|3|6/51|10|8|21-23|2356|00000140.PDF
2|4|161|Vicinity of Grove # 2|Culvert Replacement - Vicinity of Grove # 2|1115|1|10-64|0|0||672|00000141.PDF
2|4|173|Deer Grove|Winter Sports Area Landscaping|1048|1|8--62|0|0||670|00000142.PDF
2|4|152|Deer Grove|Winter Enclosures Picnic Shelter|EPR-74|1|1964-10-22|0|0||673|00000143.PDF
2|4|151|Deer Grove|Masonry Work Picnic Shelter|EPR-63|1|9-64|0|0||675|00000144.PDF
2|4|149-150|Deer Grove|Restoration Picnic Shelter|1103|2|4-62|0|0||676|00000145.PDF
2|4|194|Deer Grove|Local Plans, Well Platforms, Landscaping|7063|1||0|0||663|00000146.PDF
2|4|120-141|Deer Grove|Parking Area|1097|22|7-61|0|0||621|00000147.PDF
2|4|118-119|Deer Grove|Bituminous Existing Roadways|1095|2|8-61|0|0||622|00000148.PDF
2|4|109-117|Deer Grove|Gravel Base And Bituminous Surface Treatment|1062|9|12-49|0|0||623|00000149.PDF
2|4|106-108|Deer Grove|Small Dams|1038|3|12-49|0|0||624|00000150.PDF
2|4|105|DEER GROVe|TRAFFIC LINE MARKINGS DEER GROVE||||||||00000151.PDF
2|4|100-103|Deer Grove|Driveway and Parking Area|1008|5||0|0||626|00000152.PDF
2|4|085-099|Deer Grove|Driveway Parking Area and Walks|1001|15|8-47|0|0||627|00000153.PDF
2|4||DEER GROVE|SHELTER TERRACES DEER GROVE MANNHEIM WOODS|22-4|13|6-47|||||00000154.PDF
2|4|074|Deer Grove|New Superstructure Foot Bridge Over Spillway|1029|1|10-46|0|0||629|00000155.PDF
2|4|073|Deer Grove|Wild Life Lake|81|1|1-41|0|0||630|00000156.PDF
2|4|067-072|Deer Grove|Parking Area and Drive|84|6|4-41|0|0||631|00000157.PDF
2|4||DEER GROVE|CROSS SECTIONS DEER GROVE PARKING AREA & DRIVES|3-80|11||||||00000158.PDF
2|4||DEER GROVE|CONCRETE HANDRAIL EXISTING VEHICLE BRIDGE|||11-41|||||00000159.PDF
2|4|031-057|Deer Grove|Parking Area and Drive-Plan and Profile|C.W.A.D.  107|26|4--41|0|0||634|00000160.PDF
2|4|030|Deer Grove|Parking Space Improvements - E. of Beach|PROJ. 132 143 710|1|6-36|0|0||635|00000161.PDF
2|4|028-029|Deer Grove|Parking Area Improvements East of Lake|PROJ.  132, 143,  710|2|7-36|0|0||637|00000162.PDF
2|4|027|Deer Grove|Addition to Existing Garage|112|1|11-36|0|0||638|00000163.PDF
2|4|26||TOPOGRAPHY SHOWING X-SECTIONS - QUINTENS RD & COUNTY RD||||||||00000164.PDF
2|4|023-025|Deer Grove|Foot Bridge West of Dam|101|3|4-36|0|0||639|00000165.PDF
2|4|020-025|Deer Grove|Beach Improvement|PROJ. 48-A|3|2-35|0|0||640|00000166.PDF
2|4|019|Deer Grove|Vehicle Bridge - Near Dam Spillway|1028|1|1934|0|0||641|00000167.PDF
2|4|017-018|Deer Grove|Dam, Spillway, and Sluice Gate|PROJ.  50 - 119|2|10-34|0|0||642|00000168.PDF
2|4|016|Deer Grove|Downstream Apron|119|1|8-35|0|0||643|00000169.PDF
2|4|010-011|Deer Grove|Trail Bridge|47B|2|3-34|0|0||647|00000170.PDF
2|4|012-013|Deer Grove|Trail Bridge|PROJ. 47B - 109E|2|3-34|0|0||646|00000171.PDF
2|4|007-009|Deer Grove|Dam and Spillway|PROJ.  50-119|3|10-34|0|0||648|00000172.PDF
2|4|006|Deer Grove|Dam and Spillway - X Sections|ED - 18|1|9-33|0|0||649|00000173.PDF
2|4|005|Deer Grove|Deer Grove Development|ED - 18|1|9-33|0|0||650|00000174.PDF
2|4|01|Deer Grove|Foot Bridge|C-O-62|1|10-32|0|0||653|00000175.PDF
2|28|001-020|DEER GROVE PARKING LOT 1 AND 2|Title and Index Sheet Parking Area and Bike Path Relocation|92-32|20||0|0||1888|00000176.PDF
2|4|284|DEER GROVE LAKE|EARTHWORK DEER GROVE LAKE||8||||||00000177.PDF
2|4|273-276|DEER GROVE WINTER SPORTS AREA|Path Resurfacing and Drainage|EPR-4-93|4|5-93|0|0||1887|00000178.PDF
2|4|268-272|Various Locations in Northwest Cook County|Pavement Striping|EPR 3-85|5|2-85|0|0||681|00000179.PDF
2|4|253-267|North Drive|Deer Grove Drainage , Curb & Gutter Resurfacing|84-02|15|5-84|0|0||682|00000180.PDF
2|4|249-252|Deer Grove|Deer Grove Landscape Work|EPR 22-84|4|8-84|0|0||683|00000181.PDF
2|4|243-248|Various Locations in Northern Cook County|Bituminous Surfacing in Various Locations in Northern Cook County|84-21|6|7-84|2|4|243-248|1875|00000182.PDF
2|4|241-242|Deer Grove|Deer Grove Shelter - New Timber Roof|81-06|2|4-81|0|0||685|00000183.PDF
2|4|237-240|Various Locations, Busse Woods  (south),   Labagh Woods (west),  Deer Grove , Pulaski Woods|Roof Restoration of 5 Picnic Shelters|80-08|4|4-80|0|0||686|00000184.PDF
2|4|232-236|Deer Grove, Ground # 4, Turnbull Woods, Somme, Dam # 1 Skokie Lagoons Dam # 2 Blue Star Miami Camp Ground Chippewa Edgebrook Chevalier Robinson Schiller Playfield Barrington Road Pond Shoe Factory Road Woods Fullerton Woods East Evans Field Sunset Bridge|Thirty Five Shelters|77-04|5|1-77|0|0||687|00000185.PDF
2|4|227-231|Deer Grove, Grove 4 Turnbull Woods , Somme Woods  Dam # 1 Woods  Skokie Lagoons  Dam # 2  Blue Star Woods  Big Bend Lake  Wayside Woods  Linne Woods  Miami Woods  Camp Ground Woods Chippewa Woods Edgebrook Woods Forest Glen Chevalier Woods  Robinson Wood|Landscape Work at Shelters|77-28|5|8-77|0|0||654|00000186.PDF
2|4|217-226|Deer Grove Busse Woods Harms Woods Bode Lake Northwest Division Headquarters Ned Brown||71-26|10|7-71|0|0||655|00000187.PDF
2|4|210-216|Deer Grove Beck Lake Schiller Woods North|Resurfacing|71-19|7|5-71|0|0||656|00000188.PDF
8|19|215-216|BUSSE WOODS|RENOVATION OF TWENTY TOILET BUILDINGS|89-25|2|11-89|0|0||1355|00000189.PDF
2|4|207-209|Northwest Forestry Headquarters  Skokie Forestry Headquarters Salt Creek Nursery|Three Oil Storage Buildings|71-21|3|6-71|0|0||657|00000190.PDF
2|4|206|Deer Grove, Grove # 1|Landscape Plan for New Shelter|EPR-78|1|10-70|0|0||658|00000191.PDF
2|4|202-205|Deer Grove, Grove # 1  &  Busse Woods  Grove #  6|Picnic Shelters|70-12|4|5-70|0|0||659|00000192.PDF
2|4|199-201|Deer Grove|Restoration of Existing Toboggan Slides|EPR-71|3|10-69|0|0||660|00000193.PDF
2|4|196-198|Deer Grove|Control Building Addition|68-48|3|9-68|0|0||661|00000194.PDF
2|4|195|DEER GROVE|CONCRETE TRANSFORMER PAD AT DEER GROVE TOBOGGAN SLIDES||1|8-69|||||00000195.PDF
2|4|190-193|Deer Grove|Bituminous Concrete Resurface  Northwest Division area 2 Section 4,  5,  8,  9|68-25|4|8-68|0|0||664|00000196.PDF
2|4|187-189|Deer Grove|Seal Coat Reserve|6837|3|8-68|0|0||665|00000197.PDF
2|4|186|MULTIPLE LOCATIONS|LOCATION PLAN DROP GATE & CABLE GATE INSTALLATION||2|4-62|||||00000198.PDF
2|4|174-178|Deer Grove|Bituminous Surface for Parking Area and Drive|7026|5|5-49|0|0||669|00000199.PDF
2|4|126-172|Deer Grove|Parking Area and Drive|1113|11|3-65|0|0||671|00000200.PDF
2|3||DEER GROVE EAST|DRIVEWAY & PARKING AREAS|83-23|32|3-84|||||00000201.PDF
2|3||CAMP REINBERG|SEWAGE DISPOSAL SYSTEM|97-45|||||||00000202.PDF
2|3|191-194|Camp Reinberg|Well Pump and Tank|92-06|4|4-92|0|0||595|00000203.PDF
2|3|164-190|Deer Grove East|Bicycle Trail, N of Dundee Road , W of Hicks Road|91-07|27|5-90|0|0||596|00000204.PDF
2|3|152-163|Deer Grove|Bicycle Trail|87-19|12|7-87|0|0||597|00000205.PDF
2|3|151|Deer Grove East|Utility Line Restoration|EPR 13-86|1|5-86|0|0||598|00000206.PDF
2|3|143-150|Deer Grove East|2 Comfort Stations and 4 Picnic Shelters|85-01|8|5-85|0|0||599|00000207.PDF
